NOM;RUE;ADRESSE;DATE ACTIVATION EEL;Latitude;Longitude;EEL;CLINICAL;NOMBRE MOYEN DE DOSSIERS EEL/J    SEMAINE-1;PMD;NOMBRE DE DOSSIERS EEL EN 2024;NOMBRE DE DOSSIERS EEL S-5;NOMBRE DE DOSSIERS EEL S-4;NOMBRE DE DOSSIERS EEL S-3;NOMBRE DE DOSSIERS EEL S-2;NOMBRE DE DOSSIERS EEL S-1;IDF
LBM JOINVILLE LE PONT;19 avenue du Général Gallieni 94340 Joinville-le-Pont;19 avenue du Général Gallieni 94340 Joinville-le-Pont;26/07/2024;48.8201133;2.4733594;Oui;Oui;1;34;3;0;0;1;0;2;IDFS
LBM JOUY EN JOSAS;4 Rue Louis Pasteur;4 Rue Louis Pasteur 78350  JOUY EN JOSAS;NC;48.7653366;2.166471;Non;Non;0;0;0;0;0;0;0;0;IDFO
LBM JOUY LE MOUTIER;82 Avenue des Bruzacques;82 Avenue des Bruzacques 95280  JOUY LE MOUTIER;NC;49.0124463;2.0428629;Non;Non;0;0;0;0;0;0;0;0;IDFO
LBM JULES PRINCET;81 rue Jules Princet;81 rue Jules Princet 93600  JULES PRINCET;01/06/2023;48.9391622;2.5015359;Oui;Oui;1;43;134;3;4;4;1;6;IDFE
LBM JUVISY;12 avenue d'Estienne d'Orves;12 avenue d'Estienne d'Orves 91260  JUVISY;04/04/2023;48.6906275;2.3806287;Oui;Oui;1;32;131;0;9;3;4;2;IDFS
LBM KREMLIN-BICETRE;110 avenue de Fontainebleau;110 avenue de Fontainebleau 94270  KREMLIN-BICETRE;06/04/2023;48.8157362;2.3604405;Oui;Oui;2;44;487;11;24;14;10;12;IDFS
LBM LA ROSERAIE;43 rue Jean-JaurÂ—s;43 rue Jean-Jaurès 94240 ;22/07/2024;48.778831;2.3383;Oui;Oui;0;0;14;0;0;0;0;0;IDFS
LBM LAFAYETTE;75 Rue Lafayette;75 Rue Lafayette 75009 Paris;;48.875044;2.341232;Oui;Oui;3;60;412;9;18;21;21;10;IDFE
LBM LAGNY SUR MARNE;46-48 Rue du Chemin de Fer  ;46-48 Rue du Chemin de Fer   77401  LAGNY SUR MARNE;17/07/2024;48.8791561;2.7048184;Oui;Oui;1;49;46;2;8;7;3;2;IDFE
LBM LANDY;21 rue du landy;21 rue du landy 93400  LANDY;21/10/2024;48.915192;2.374571;Non;Oui;0;0;0;0;0;0;1;0;IDFE
LBM LE BLANC MESNIL;189 Avenue Pasteur ;189 Avenue Pasteur  93150  LE BLANC MESNIL;NC;48.9420842;2.4674744;Non;Oui;0;0;0;0;0;0;0;0;IDFE
LBM LE CHESNAY;3 square de Castiglione;3 square de Castiglione 78151  LE CHESNAY;01/07/2023;48.8293854;2.128232;Oui;Oui;1;16;24;0;0;1;0;1;IDFO
LBM LE MESNIL ST DENIS;1 Rue Raymond Berrurier;1 Rue Raymond Berrurier 78320  LE MESNIL ST DENIS;NC;48.74485;1.95594;Non;Non;0;0;0;0;0;0;0;0;IDFO
LBM LE PRE SAINT GERVAIS;41 Rue AndrÂ– Joineau  ;41 Rue AndrÂ– Joineau   93310  LE PRE SAINT GERVAIS;21/10/2024;48.8855;2.4042;Non;Oui;0;0;0;0;0;0;0;0;IDFE
LBM LES MUREAUX;222 Av. Paul Raoult;222 Av. Paul Raoult 78130  LES MUREAUX;26/07/2024;48.9790663;1.9130942;Oui;Oui;2;16;2;0;0;0;0;2;IDFO
LBM LES ULIS;4 avenue de Provence;4 avenue de Provence 91940  LES ULIS;17/07/2024;48.6757332;2.1813335;Oui;Oui;1;19;16;0;3;1;0;2;IDFS
LBM LIMAY;1 rue du MarÂ–chal FOCH;1 rue du Maréchal FOCH 78520  ;01/07/2023;48.993358;1.729223;Oui;Oui;0;0;26;1;3;0;0;0;IDFO
